,Zahlen vom 04.10.2021,vor einer Woche
Neue Fälle,26,48
Fälle gesamt,22842,22669
Todesfälle neu,0,0
Todesfälle gesamt,227,227
Infizierte im Spital,6,8
davon auf der Intensiv-Station,2,1
