,Zahlen vom 29.11.2021,vor einer Woche
Neue Fälle,101,94
Fälle gesamt,19984,18642
Todesfälle neu,0,0
Todesfälle gesamt,225,224
Infizierte im Spital,90,70
davon auf der Intensiv-Station,12,10
