,Zahlen vom 25.08.2021,vor einer Woche
Neue Fälle,92,79
Fälle gesamt,14869,14370
Todesfälle neu,0,1
Todesfälle gesamt,210,209
Infizierte im Spital,42,28
davon auf der Intensiv-Station,10,6
