,Zahlen vom 28.02.2022,vor einer Woche
Neue Fälle,919,864
Fälle gesamt,88361,83715
Todesfälle neu,0,0
Todesfälle gesamt,276,276
Infizierte im Spital,38,36
davon auf der Intensiv-Station,2,3
