,Zahlen vom 11.07.2021,vor einer Woche
Neue Fälle,9,1
Fälle gesamt,18298,18240
Todesfälle neu,0,0
Todesfälle gesamt,219,219
Infizierte im Spital,0,2
davon auf der Intensiv-Station,0,2
