,Zahlen vom 17.08.2021,vor einer Woche
Neue Fälle,106,64
Fälle gesamt,19971,19287
Todesfälle neu,0,0
Todesfälle gesamt,222,220
Infizierte im Spital,20,6
davon auf der Intensiv-Station,3,0
