,Zahlen vom 11.08.2021,vor einer Woche
Neue Fälle,61,56
Fälle gesamt,13892,13600
Todesfälle neu,0,0
Todesfälle gesamt,208,207
Infizierte im Spital,15,8
davon auf der Intensiv-Station,2,1
