,Zahlen vom 24.11.2021,vor einer Woche
Neue Fälle,274,218
Fälle gesamt,27421,25853
Todesfälle neu,0,0
Todesfälle gesamt,238,235
Infizierte im Spital,42,35
davon auf der Intensiv-Station,6,3
