,Zahlen vom 01.03.2022,vor einer Woche
Neue Fälle,607,819
Fälle gesamt,88968,84534
Todesfälle neu,0,0
Todesfälle gesamt,276,276
Infizierte im Spital,40,34
davon auf der Intensiv-Station,1,3
