,Zahlen vom 31.08.2021,vor einer Woche
Neue Fälle,36,63
Fälle gesamt,15209,14777
Todesfälle neu,0,0
Todesfälle gesamt,211,210
Infizierte im Spital,38,43
davon auf der Intensiv-Station,12,10
