,Zahlen vom 10.01.2022,vor einer Woche
Neue Fälle,239,185
Fälle gesamt,29628,26571
Todesfälle neu,0,0
Todesfälle gesamt,255,250
Infizierte im Spital,90,79
davon auf der Intensiv-Station,17,18
