geoRegion,altersklasse_covid19,per100PersonsTotal
AG,70 - 79,85.32
AI,70 - 79,82.43
AR,70 - 79,79.58
BE,70 - 79,81.88
BL,70 - 79,84.02
BS,70 - 79,82.08
FR,70 - 79,79.9
GE,70 - 79,83.54
GL,70 - 79,81.22
GR,70 - 79,84.37
JU,70 - 79,77.71
LU,70 - 79,80.51
NE,70 - 79,80.27
NW,70 - 79,87.11
SG,70 - 79,83.33
SH,70 - 79,87.88
SO,70 - 79,84.81
SZ,70 - 79,77.46
TG,70 - 79,80.15
TI,70 - 79,84.25
UR,70 - 79,79.99
VD,70 - 79,82.09
ZG,70 - 79,84.42
ZH,70 - 79,76.46
CH,70 - 79,81.57
