,geoRegion,altersklasse_covid19,per100PersonsTotal
91,AG,30 - 39,21.11
298,AI,30 - 39,15.59
505,AR,30 - 39,23.22
712,BE,30 - 39,29.87
919,BL,30 - 39,13.78
1126,BS,30 - 39,25.48
1540,FR,30 - 39,17.49
1747,GE,30 - 39,23.31
1954,GL,30 - 39,13.24
2161,GR,30 - 39,10.43
2368,JU,30 - 39,27.18
2575,LU,30 - 39,23.92
2782,NE,30 - 39,17.97
2989,NW,30 - 39,14.85
3196,SG,30 - 39,16.75
3403,SH,30 - 39,19.55
3610,SO,30 - 39,20.32
3817,SZ,30 - 39,23.35
4024,TG,30 - 39,22.97
4231,TI,30 - 39,14.66
4438,UR,30 - 39,23.83
4645,VD,30 - 39,29.15
4852,ZG,30 - 39,11.33
5059,ZH,30 - 39,21.33
5376,CH,30 - 39,22.18
