,geoRegion,altersklasse_covid19,per100PersonsTotal
137,AG,50 - 59,39.04
344,AI,50 - 59,46.29
551,AR,50 - 59,39.42
758,BE,50 - 59,42.56
965,BL,50 - 59,58.44
1172,BS,50 - 59,61.4
1586,FR,50 - 59,46.51
1793,GE,50 - 59,67.28
2000,GL,50 - 59,51.28
2207,GR,50 - 59,49.96
2414,JU,50 - 59,42.78
2621,LU,50 - 59,45.38
2828,NE,50 - 59,41.97
3035,NW,50 - 59,41.36
3242,SG,50 - 59,51.31
3449,SH,50 - 59,42.04
3656,SO,50 - 59,37.99
3863,SZ,50 - 59,39.15
4070,TG,50 - 59,43.11
4277,TI,50 - 59,55.31
4484,UR,50 - 59,46.44
4691,VD,50 - 59,51.95
4898,ZG,50 - 59,56.64
5105,ZH,50 - 59,53.03
5378,CH,50 - 59,49.1
