geoRegion,altersklasse_covid19,per100PersonsTotal
AG,80+,81.14
AI,80+,74.58
AR,80+,78.32
BE,80+,79.42
BL,80+,82.5
BS,80+,78.66
FR,80+,79.69
GE,80+,82.95
GL,80+,78.38
GR,80+,85.26
JU,80+,74.61
LU,80+,78.79
NE,80+,78.59
NW,80+,83.77
SG,80+,77.61
SH,80+,85.68
SO,80+,80.99
SZ,80+,72.14
TG,80+,78.28
TI,80+,85.04
UR,80+,80.31
VD,80+,79.92
ZG,80+,84.06
ZH,80+,82.18
CH,80+,80.71
