,geoRegion,altersklasse_covid19,per100PersonsTotal
160,AG,60 - 69,63.21
367,AI,60 - 69,67.25
574,AR,60 - 69,59.6
781,BE,60 - 69,60.86
988,BL,60 - 69,74.9
1195,BS,60 - 69,70.82
1609,FR,60 - 69,63.82
1816,GE,60 - 69,74.01
2023,GL,60 - 69,66.04
2230,GR,60 - 69,69.36
2437,JU,60 - 69,57.78
2644,LU,60 - 69,67.31
2851,NE,60 - 69,66.98
3058,NW,60 - 69,64.85
3265,SG,60 - 69,69.27
3472,SH,60 - 69,68.2
3679,SO,60 - 69,62.19
3886,SZ,60 - 69,58.07
4093,TG,60 - 69,63.8
4300,TI,60 - 69,73.77
4507,UR,60 - 69,62.33
4714,VD,60 - 69,64.12
4921,ZG,60 - 69,70.63
5128,ZH,60 - 69,65.77
5379,CH,60 - 69,65.93
