nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021,11.01.2021,18.01.2021,25.01.2021,01.02.2021
Antigen-Schnelltest,12.0,173.0,302.0,487.0,545.0,944.0,1404.0,1505.0,1030.0,930.0,850.0,1269.0,1102.0,1343.0
PCR (herkömmlich),5272.0,4480.0,4026.0,4262.0,4722.0,5142.0,5667.0,3780.0,3144.0,3574.0,3106.0,3252.0,3207.0,3685.0
