nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021,11.01.2021
Antigen-Schnelltest,9.0,28.0,43.0,58.0,203.0,328.0,1155.0,982.0,785.0,727.0,619.0
PCR (herkömmlich),2486.0,2133.0,2212.0,2217.0,2162.0,2271.0,2745.0,1941.0,1319.0,1739.0,1511.0
