nachweismethode,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28
Antigen-Schnelltest,21.0,53.0,68.0,118.0,82.0,80.0,115.0,116.0,164.0
PCR (herkömmlich),516.0,441.0,451.0,380.0,414.0,326.0,325.0,282.0,231.0
