nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020
Antigen-Schnelltest,31.0,201.0,215.0,306.0,353.0,477.0,442.0,405.0,303.0
PCR (herkömmlich),888.0,629.0,601.0,672.0,719.0,606.0,766.0,510.0,375.0
