nachweismethode,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21,2020-12-28
Antigen-Schnelltest,54.0,166.0,393.0,686.0,1264.0,2154.0,3103.0,2614.0,1661.0
PCR (herkömmlich),6944.0,6147.0,5540.0,5235.0,5131.0,5438.0,6201.0,5365.0,4212.0
