nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021,11.01.2021,18.01.2021,25.01.2021,01.02.2021,08.02.2021,15.02.2021,22.02.2021
Antigen-Schnelltest,9.0,28.0,43.0,58.0,203.0,332.0,1167.0,1013.0,790.0,727.0,622.0,713.0,702.0,914.0,857.0,751.0,640.0
PCR (herkömmlich),2487.0,2133.0,2212.0,2217.0,2165.0,2271.0,2757.0,1968.0,1319.0,1738.0,1509.0,1603.0,1564.0,2124.0,1759.0,1405.0,2891.0
