nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021
Antigen-Schnelltest,184.0,825.0,1625.0,2661.0,3110.0,3581.0,4356.0,4231.0,3358.0,3668.0
PCR (herkömmlich),13151.0,10554.0,9664.0,9793.0,10170.0,11412.0,12438.0,10448.0,7370.0,8249.0
