nachweismethode,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21
Antigen-Schnelltest,537.0,1357.0,1724.0,2308.0,2830.0,3499.0,3930.0,3269.0
PCR (herkömmlich),9541.0,7128.0,6709.0,6694.0,6878.0,7688.0,8380.0,6064.0
