nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021,11.01.2021,18.01.2021,25.01.2021,01.02.2021
Antigen-Schnelltest,537.0,1355.0,1725.0,2308.0,2832.0,3516.0,3945.0,3302.0,2514.0,2700.0,2155.0,2456.0,2545.0,2420.0
PCR (herkömmlich),9541.0,7128.0,6709.0,6694.0,6881.0,7691.0,8393.0,6077.0,4757.0,6077.0,4840.0,4964.0,5982.0,5306.0
