nachweismethode,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14
Antigen-Schnelltest,54.0,166.0,393.0,686.0,1264.0,2154.0,2955.0
PCR (herkömmlich),6944.0,6147.0,5540.0,5235.0,5131.0,5438.0,5741.0
