nachweismethode,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21
Antigen-Schnelltest,2.0,12.0,11.0,7.0,25.0,32.0,43.0,27.0
PCR (herkömmlich),405.0,445.0,546.0,413.0,580.0,239.0,360.0,430.0
