nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021,11.01.2021,18.01.2021
Antigen-Schnelltest,187.0,632.0,928.0,1220.0,1530.0,1765.0,1866.0,2022.0,1700.0,1674.0,1580.0,1626.0
PCR (herkömmlich),4824.0,3697.0,3311.0,3483.0,3830.0,4355.0,4808.0,3622.0,2466.0,3467.0,2581.0,2767.0
