nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021,11.01.2021
Antigen-Schnelltest,54.0,166.0,393.0,686.0,1264.0,2154.0,3103.0,2615.0,1828.0,2323.0,2052.0
PCR (herkömmlich),6944.0,6147.0,5540.0,5235.0,5131.0,5436.0,6201.0,5365.0,4351.0,4981.0,4231.0
