nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021,11.01.2021,18.01.2021,25.01.2021,01.02.2021,08.02.2021
Antigen-Schnelltest,54.0,166.0,393.0,686.0,1266.0,2154.0,3102.0,2619.0,1829.0,2323.0,2214.0,2368.0,2391.0,2462.0,1298.0
PCR (herkömmlich),6945.0,6147.0,5540.0,5234.0,5132.0,5436.0,6531.0,5448.0,4350.0,4978.0,4310.0,4050.0,3668.0,4566.0,3891.0
