nachweismethode,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21
Antigen-Schnelltest,10.0,35.0,49.0,64.0,146.0,117.0,243.0,165.0
PCR (herkömmlich),644.0,476.0,408.0,435.0,444.0,476.0,660.0,451.0
