nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021,11.01.2021
Antigen-Schnelltest,537.0,1357.0,1724.0,2308.0,2830.0,3499.0,3933.0,3294.0,2512.0,2700.0,2140.0
PCR (herkömmlich),9541.0,7128.0,6709.0,6694.0,6878.0,7688.0,8381.0,6070.0,4758.0,6080.0,4844.0
