nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021,11.01.2021
Antigen-Schnelltest,10.0,35.0,49.0,64.0,146.0,117.0,243.0,165.0,143.0,154.0,218.0
PCR (herkömmlich),644.0,476.0,408.0,435.0,444.0,476.0,660.0,451.0,414.0,508.0,431.0
