nachweismethode,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21
Antigen-Schnelltest,9.0,28.0,43.0,58.0,203.0,328.0,1154.0,981.0
PCR (herkömmlich),2486.0,2133.0,2212.0,2217.0,2162.0,2271.0,2743.0,1940.0
