nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021,11.01.2021,18.01.2021,25.01.2021,01.02.2021
Antigen-Schnelltest,187.0,635.0,928.0,1222.0,1534.0,1780.0,2045.0,2036.0,1702.0,1677.0,1588.0,1632.0,1687.0,1818.0
PCR (herkömmlich),4824.0,3697.0,3311.0,3483.0,3830.0,4355.0,4912.0,3626.0,2466.0,3467.0,2576.0,2752.0,2866.0,2270.0
