nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021,11.01.2021
Antigen-Schnelltest,31.0,201.0,215.0,306.0,353.0,477.0,442.0,407.0,305.0,367.0,242.0
PCR (herkömmlich),888.0,629.0,601.0,672.0,719.0,606.0,766.0,510.0,375.0,603.0,465.0
