nachweismethode,2020-11-02,2020-11-09,2020-11-16,2020-11-23,2020-11-30,2020-12-07,2020-12-14,2020-12-21
Antigen-Schnelltest,60.0,234.0,354.0,534.0,649.0,799.0,1073.0,1082.0
PCR (herkömmlich),2730.0,1972.0,1831.0,1929.0,1948.0,2445.0,2809.0,2462.0
