nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020
Antigen-Schnelltest,187.0,632.0,928.0,1220.0,1528.0,1716.0
PCR (herkömmlich),4824.0,3697.0,3311.0,3483.0,3830.0,4329.0
