nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021,11.01.2021,18.01.2021,25.01.2021,01.02.2021,08.02.2021,15.02.2021,22.02.2021,01.03.2021
Antigen-Schnelltest,60.0,234.0,354.0,534.0,648.0,812.0,1074.0,1086.0,724.0,708.0,586.0,632.0,597.0,685.0,690.0,583.0,665.0,639.0
PCR (herkömmlich),2730.0,1972.0,1831.0,1928.0,1954.0,2447.0,2870.0,2470.0,1680.0,1937.0,1917.0,1901.0,1828.0,1892.0,1979.0,1741.0,1835.0,1701.0
