nachweismethode,02.11.2020,09.11.2020,16.11.2020,23.11.2020,30.11.2020,07.12.2020,14.12.2020,21.12.2020,28.12.2020,04.01.2021,11.01.2021,18.01.2021
Antigen-Schnelltest,60.0,234.0,354.0,534.0,649.0,799.0,1073.0,1082.0,724.0,708.0,586.0,632.0
PCR (herkömmlich),2730.0,1972.0,1831.0,1929.0,1948.0,2445.0,2808.0,2463.0,1679.0,1935.0,1918.0,1906.0
