Alter,1. Welle,2. Welle,3. Welle
0 - 9,1,1,0
10 - 19,0,0,1
20 - 29,0,3,0
30 - 39,5,4,0
40 - 49,5,26,1
50 - 59,42,116,18
60 - 69,126,451,52
70 - 79,352,1509,110
80+,1189,5656,201
