Alter,1. Welle,2. Welle,3. Welle
0 - 9,1,1,0
10 - 19,0,0,1
20 - 29,0,3,0
30 - 39,5,4,1
40 - 49,5,27,7
50 - 59,42,117,46
60 - 69,127,461,111
70 - 79,353,1544,201
80+,1192,5741,380
