Alter,1. Welle,2. Welle,3. Welle
0 - 9,1,1,0
10 - 19,0,0,1
20 - 29,0,3,0
30 - 39,5,4,1
40 - 49,5,27,6
50 - 59,42,117,42
60 - 69,126,459,100
70 - 79,353,1542,192
80+,1192,5726,364
