Alter,1. Welle,2. Welle,3. Welle,ab 4. Welle
0 - 9,1,1,0,0
10 - 19,0,0,1,0
20 - 29,0,3,0,1
30 - 39,5,4,1,6
40 - 49,5,27,7,14
50 - 59,42,117,47,51
60 - 69,127,461,114,107
70 - 79,353,1554,201,203
80+,1192,5784,377,697
