Alter,1. Welle,2. Welle,3. Welle,4. Welle
0 - 9,1,1,0,0
10 - 19,0,0,1,0
20 - 29,0,3,0,0
30 - 39,5,4,1,3
40 - 49,5,27,7,6
50 - 59,42,117,47,18
60 - 69,127,460,112,32
70 - 79,353,1550,201,49
80+,1192,5773,375,122
