Alter,1. Welle,2. Welle,3. Welle
0 - 9,1,1,0
10 - 19,0,0,1
20 - 29,0,3,0
30 - 39,5,4,2
40 - 49,5,27,8
50 - 59,42,117,49
60 - 69,127,460,116
70 - 79,353,1546,205
80+,1192,5762,383
