Alter,1. Welle,2. Welle,3. Welle
0 - 9,1,1,0
10 - 19,0,0,1
20 - 29,0,3,0
30 - 39,5,4,0
40 - 49,5,27,5
50 - 59,42,117,37
60 - 69,126,459,89
70 - 79,352,1542,169
80+,1191,5725,336
