Alter,1. Welle,2. Welle,3. Welle,4. Welle
0 - 9,1,1,0,0
10 - 19,0,0,1,0
20 - 29,0,3,0,1
30 - 39,5,4,1,5
40 - 49,5,27,7,6
50 - 59,42,117,47,33
60 - 69,127,461,113,63
70 - 79,353,1553,201,81
80+,1192,5783,376,221
