Alter,1. Welle,2. Welle,3. Welle,ab 4. Welle
0 - 9,1,1,0,3
10 - 19,0,0,1,1
20 - 29,0,3,0,2
30 - 39,5,4,1,13
40 - 49,5,27,7,30
50 - 59,42,117,47,123
60 - 69,127,462,114,275
70 - 79,353,1554,201,579
80+,1192,5791,378,1883
