Alter,1. Welle,2. Welle,3. Welle
0 - 9,1,1,0
10 - 19,0,0,1
20 - 29,0,3,0
30 - 39,5,4,1
40 - 49,5,27,6
50 - 59,42,117,38
60 - 69,126,459,92
70 - 79,353,1542,179
80+,1191,5725,349
