Alter,1. Welle,2. Welle,3. Welle
0 - 9,1,1,0
10 - 19,0,0,1
20 - 29,0,3,0
30 - 39,5,4,0
40 - 49,5,26,4
50 - 59,42,117,28
60 - 69,126,454,81
70 - 79,352,1527,155
80+,1191,5702,307
