Alter,1. Welle,2. Welle,3. Welle,ab 4. Welle
0 - 9,1,1,0,0
10 - 19,0,0,1,0
20 - 29,0,3,0,1
30 - 39,5,4,1,8
40 - 49,5,27,7,20
50 - 59,42,117,47,66
60 - 69,127,461,114,149
70 - 79,353,1554,201,291
80+,1192,5784,378,994
