Alter,1. Welle,2. Welle,3. Welle,4. Welle
0 - 9,1,1,0,0
10 - 19,0,0,1,0
20 - 29,0,3,0,0
30 - 39,5,4,1,2
40 - 49,5,27,7,2
50 - 59,42,117,47,9
60 - 69,127,460,112,13
70 - 79,353,1549,201,23
80+,1192,5771,375,52
